time,flight_Number,terminal,gate
23:55,"AY131, QF3874",T2,53
12:00,"AY953, AA8992",T2,25
12:25,"SU2207, AY6839",T2,32
12:25,"TK1762, SK3423",T2,33
12:40,LH2463,T1,12
12:45,AY1073,T2,20B
13:05,"AY313, AF4674",T2,21A
13:10,D8124,T2,23
13:15,"AY365, AF4673",T2,21
13:20,VY8549,T1,14
13:30,AY809,T2,31
13:35,"AY263, AF4677",T2,23A
13:45,AY1019,T2,23B
13:55,"AY223, AF4656",T2,20B
13:55,AY513,T2,20A
13:55,BT304,T1,13A
13:55,D86151,T2,19
14:00,AY1335,T2,50C
14:00,"LH849, OS7434, TP7913, SN7102, UA9049, AC9252, A31467",T1,13
14:05,KL1168,T2,26
14:10,"AY005, IB7409, AA8985, BA6005",T2,55
14:15,AY439,T2,22
14:20,"FI343, AY6817",T2,29
14:45,"SK709, CA6877, OS7554",T1,12
15:00,AY575,T2,31E
15:10,"BY746, TOM746",T2,51B
15:20,"AY845, TF6113",T2,20A
15:30,"AY1543, TP8357",T2,19
15:35,AY955,T2,28
15:50,"AY887, TF6130",T2,18A
15:55,"AY285, AF4219",T2,23B
15:55,"AY415, AF4221",T2,19A
15:55,D8108,T2,31E
15:55,DY4286,T2,23
16:00,"AY265, AF4650",T2,20A
16:00,"AY441, JL6843, IB7417, AF4642, BA6040",T2,
16:00,AY1337,T2,50C
16:00,"AY1365, BA6007, JL6839",T2,50J
16:05,"AY1755, JL6851, TP8359",T2,29
16:05,"AY865, BA6083, JL6829",T2,31B
16:05,AY1577,T2,25
16:05,OK481,T2,17A
16:05,"AY915, BA6069, JL6811",T2,12
16:10,AY1385,T2,50A
16:10,"AY813, JL6813, BA6043",T2,31C
16:10,PS152,T2,51A
16:10,AY1533,T2,31D
16:15,"AY225, AF4654",T2,23A
16:15,"AY345, AF4624",T2,21A
16:15,"AY1075, BA6028, JL6871",T2,20B
16:15,B2858,T2,50L
16:15,AY593,T2,18
16:20,"AY535, AF4635, BA6057, JL6867, IB7412",T2,30
16:20,"AY1405, JL6827",T2,15
16:20,AY1105,T2,13
16:25,"AY1023, AF4660, BA6013, JL6869, IB7430",T2,23B
16:25,AY617,T2,26
16:25,DK1398,T2,24
16:30,"AY1769, JL6849",T2,16
16:30,"AY1395, JL6821",T2,31E
16:30,AY315,T2,20A
16:30,"AY1513, JL6845",T2,14
16:30,"BT306, LO4174, 2N6036",T1,14A
16:40,"AY1305, JL6819, IB7433",T2,31D
16:40,"AY1545, JL6833",T2,17
16:45,AY027,T2,55
16:45,"2N426, KL9161",T1,13A
16:50,AY369,T2,31C
16:50,AY443,T2,21A
16:50,"AY835, BA6053, TF6109",T2,20B
16:50,QR302,T2,50G
16:50,"SK719, CA6874",T1,13A
16:55,"SK1713, LG1832",T1,12
16:55,AY1415,T2,20
16:55,"BA799, AY5909, AA6480",T2,50C
17:00,AY141,T2,50E
17:00,"AY1661, IB7425, JL6853",T2,31D
17:00,"AY1435, JL6823",T2,21
17:00,"AY1475, BA6009, JL6837",T2,31E
17:00,D8370,T2,51A
17:05,"JL414, BA3448, AY5811",T2,53
17:15,AY079,T2,50J
17:15,D86521,T2,19
23:55,"AY131, QF3874",T2,53
12:00,"AY953, AA8992",T2,25
12:25,"SU2207, AY6839",T2,32
12:25,"TK1762, SK3423",T2,33
12:40,LH2463,T1,12
12:45,AY1073,T2,20B
13:05,"AY313, AF4674",T2,21A
13:10,D8124,T2,23
13:15,"AY365, AF4673",T2,21
13:20,VY8549,T1,14
13:30,AY809,T2,31
13:35,"AY263, AF4677",T2,23A
13:45,AY1019,T2,23B
13:55,"AY223, AF4656",T2,20B
